# Time(s)	Target_GMPP(W)	M1_Standard_INC(W)	M2_INC_Fuzzy(W)
71.4373	142.53	117.30	140.37
71.5596	142.53	120.18	140.37
71.6820	142.53	123.79	140.37
71.8043	142.53	128.11	140.37
71.9266	142.53	129.55	140.37
72.0489	142.53	136.04	140.37
72.1713	142.53	138.93	140.37
72.2936	142.53	138.93	140.37
72.4159	142.53	138.93	140.37
72.5382	142.53	138.93	140.37
72.6606	142.53	136.76	140.37
72.7829	142.53	134.60	140.37
72.9052	142.53	133.16	140.47
73.0275	142.53	133.16	140.57
73.1498	142.53	133.16	140.68
73.2722	142.53	133.16	140.78
73.3945	142.53	135.32	141.21
73.5168	142.53	139.65	141.63
73.6391	142.53	139.65	141.84
73.7615	142.53	139.65	141.94
73.8838	142.53	139.65	142.04
74.0061	142.53	139.65	142.04
74.1284	142.53	137.48	142.04
74.2508	142.53	136.04	141.72
74.3731	142.53	133.16	141.40
74.4954	142.53	133.16	141.40
74.6177	142.53	133.16	141.40
74.7401	142.53	133.88	141.40
74.8624	142.53	135.32	141.50
74.9847	142.53	136.76	141.60
75.1070	142.53	139.65	141.93
75.2294	142.53	141.09	142.25
75.3517	142.53	141.09	142.25
75.4740	142.53	139.65	142.25
75.5963	142.53	139.65	142.25
75.7187	142.53	139.65	142.25
75.8410	142.53	137.48	142.25
75.9633	142.53	136.76	142.03
76.0856	142.53	133.16	141.81
76.2080	142.53	133.16	141.91
76.3303	142.53	130.28	142.02
76.4526	142.53	128.83	142.12
76.5749	142.53	126.67	142.22
76.6972	142.53	125.23	142.32
76.8196	142.53	123.79	142.43
76.9419	142.53	123.79	142.53
77.0642	142.53	123.79	142.53
77.1865	142.53	124.51	142.59
77.3089	142.53	126.67	142.65
77.4312	142.53	129.55	142.76
77.5535	142.53	131.00	142.88
77.6758	142.53	135.32	143.00
77.7982	142.53	138.20	143.12
77.9205	142.53	141.09	143.23
78.0428	142.53	141.09	143.29
78.1651	142.53	141.09	143.35
78.2875	142.53	141.09	143.35
78.4098	142.53	141.09	143.35
78.5321	142.53	141.09	143.35
78.6544	142.53	141.09	143.35
78.7768	142.53	141.09	143.35
78.8991	142.53	141.09	143.35
79.0214	142.53	141.09	143.35
79.1437	142.53	140.37	143.35
79.2661	142.53	138.20	143.35
79.3884	142.53	136.76	143.35
79.5107	142.53	133.88	143.35
79.6330	142.53	131.00	143.35
79.7554	142.53	129.55	143.35
79.8777	142.53	128.83	143.35
80.0000	142.53	127.39	143.35
80.1223	142.53	124.51	143.35
80.2446	142.53	123.79	143.35
80.3670	142.53	123.79	143.35
80.4893	142.53	123.79	143.35
80.6116	142.53	123.79	143.35
80.7339	142.53	125.95	143.35
80.8563	142.53	128.83	143.35
80.9786	142.53	132.44	143.35
81.1009	142.53	135.32	143.35
81.2232	142.53	136.04	143.35
81.3456	142.53	141.09	143.35
81.4679	142.53	141.09	143.35
81.5902	142.53	141.81	143.23
81.7125	142.53	141.09	143.12
81.8349	142.53	138.93	143.00
81.9572	142.53	136.76	142.88
82.0795	142.53	133.16	142.76
82.2018	142.53	131.00	142.65
82.3242	142.53	129.55	142.53
82.4465	142.53	129.55	142.53
